ManuFactory  (MNFT),ecosystem,jeancurcio.near,TRUE
MIND Games  (CELL),ecosystem,jcosta.near,TRUE
Multichain  (MULTI),ecosystem,multichainorg.near,TRUE
Myriad Social  (MYRIA),ecosystem,myriadcore.near,TRUE
Odo Ecosystem  (ODO),ecosystem,awesome.near,TRUE
OpenBiSea  (OBS),ecosystem,4cb3fd6ea575327dedfe4ccb5ac32d95c26bdbe8145942c22ebf8277d2b1a4ae,TRUE
PAPR Ecosystem  (PAPR),ecosystem,awesome.near,TRUE
Portal,ecosystem,indiastudents.near,TRUE
PureFi Protocol  (UFI),ecosystem,e57705ca88d5d8dca6ebbc5da0774a7645e768f1dd5fa28e883e3767b30f50cd,TRUE
Rabby Wallet,ecosystem,fprat.near,TRUE
Rainbow Bridge,ecosystem,adb098304d446a7fdf3760a3678fefbe95301d85c952c111c9439fcd26e7c939,TRUE
Ref Finance,ecosystem,token.v2.ref-finance.near,TRUE
Ref Finance,ecosystem,xtoken.ref-finance.near,TRUE
Ref Finance,ecosystem,ref-finance.sputnik-dao.near,TRUE
Skytale,ecosystem,skytale.near,TRUE
Squid,ecosystem,richtobacco.near,TRUE
Stader  (NEARX),ecosystem,v2-nearx.stader-labs.near,TRUE
SushiSwap  (SUSHI),ecosystem,6b3595068778dd592e39a122f4f5a5cf09c90fe2.factory.bridge.near,TRUE
Swing,ecosystem,tigere.near,TRUE
Tether  (USDT),ecosystem,usdt.tether-token.near,TRUE
The Auction,ecosystem,v1.the-auction.near,TRUE
The Graph  (GRT),ecosystem,c944e90c64b2c07662a292be6244bdf05cda44a7.factory.bridge.near,TRUE
Tonana,ecosystem,aed776ccbd33ad227a73996db3304b153bdb3fe914b8ec2bb1bef41e29daca43,TRUE
Tribe Wallet,ecosystem,fprat.near,TRUE
Trust Wallet,ecosystem,fprat.near,TRUE
XP.Network,ecosystem,xpnetwork.near,TRUE
Zen Launch  (ZENL),ecosystem,zbpursuit.near,TRUE
Owl Games,betting,owlgames.near,TRUE
Project Name,Category,Wallet Address,Enabled
Andy Warlords,fungible_token,pyjama.near,TRUE
CycloClan,fungible_token,cycloclan.near,TRUE
EngiNeart,fungible_token,engineart.near,TRUE
Glory Games: Worlds,fungible_token,sixpacklai.near,TRUE
Gorilla Squad,fungible_token,thegorillasquad.sputnik-dao.near,TRUE
Haven,fungible_token,haven.sputnik-dao.near,TRUE
Holistic Pilgrim,fungible_token,holistic-pilgrim.sputnik-dao.near,TRUE
J0YRID3RZ,fungible_token,j0yrid3rz.near,TRUE
Kaizo Fighters,fungible_token,kaizo-fighters.sputnik-dao.near,TRUE
Lacrove,fungible_token,lacrove.near,TRUE
Meta Foxonry,fungible_token,metafoxonry.near,TRUE
MonkeGodz,fungible_token,deitydao.sputnik-dao.near,TRUE
MonkeONear,fungible_token,monkeonear.neartopia.near,TRUE
Murder Mystery Collective,fungible_token,scribblelabs.near,TRUE
NAGMI,fungible_token,nagmi.oldmantrader.near,TRUE
Naksh,fungible_token,naksh.sputnik-dao.near,TRUE
NEAR Dragon Nation,fungible_token,dragonnation.near,TRUE
NEAR Misfits,fungible_token,misfits.tenk.near,TRUE
NEARNauts,fungible_token,donny.near,TRUE
nft.hiphop,fungible_token,5racestreetnfthh.near,TRUE
Papu Superstars,fungible_token,chavo.near,TRUE
PIONEARS,fungible_token,agglomerate.near,TRUE
RealBirds,fungible_token,realbirds.near,TRUE
RocketBois,fungible_token,rocketbois-staking.near,TRUE
Secret Skellies Society  (UTO),fungible_token,utopia.secretskelliessociety.near,TRUE
Shinto Society,fungible_token,shinto-society-dao.sputnik-dao.near,TRUE
Shit Happens,fungible_token,shit-happens.near,TRUE
Starry Night,fungible_token,markoeth.near,TRUE
The Arrogant Youth Circle,fungible_token,tayc-nft.near,TRUE
TORA,fungible_token,tora-tenk-near.sputnik-dao.near,TRUE
Ugly Apes Society,fungible_token,ugly-apes-society-main.sputnik-dao.near,TRUE
XRAVERS,fungible_token,xravers.near,TRUE
ZomboDucks,fungible_token,gameplace.near,TRUE
,dao,auroradao.sputnik-dao.near,
,dao,auroralabs.sputnik-dao.near,
,dao,aurora-dao-bvi.sputnik-dao.near,
,dao,auroraliquid.sputnik-dao.near,
,dao,burrow.sputnik-dao.near,
,dao,aurorafinance.sputnik-dao.near,
,dao,hakdao.sputnik-dao.near,
,dao,human.sputnik-dao.near,
,dao,mvci.sputnik-dao.near,
,dao,collabs.sputnik-dao.near,
,dao,boo-monstersnear.sputnik-dao.near,
,dao,wagner-hermanos.sputnik-dao.near,
,dao,aurora-foundation.sputnik-dao.near,
,dao,near-p2p.sputnik-dao.near,
,dao,ecosystem.sputnik-dao.near,
,dao,daocubator.sputnik-dao.near,
,dao,tamatoken.sputnik-dao.near,
,dao,wiki.sputnik-dao.near,
,dao,metaverse-dao.sputnik-dao.near,
,dao,tokodao.sputnik-dao.near,
,dao,ref-community-board.sputnik-dao.near,
,dao,aurora.sputnik-dao.near,
,dao,xclaim-club.sputnik-dao.near,
,dao,incubadora.sputnik-dao.near,
,dao,muti.sputnik-dao.near,
,dao,growth-guild.sputnik-dao.near,
,dao,tan.sputnik-dao.near,
,dao,forests.sputnik-dao.near,
,dao,move.sputnik-dao.near,
,dao,marketing.sputnik-dao.near,
,dao,cheddar.sputnik-dao.near,
,dao,fradao.sputnik-dao.near,
,dao,meekdao.sputnik-dao.near,
,dao,ddm.sputnik-dao.near,
,dao,dragon.sputnik-dao.near,
,dao,creatives.sputnik-dao.near,
,dao,gcrdao.sputnik-dao.near,
,dao,lens.sputnik-dao.near,
,dao,asac-dao.sputnik-dao.near,
,dao,cudo.sputnik-dao.near,
,dao,browndao.sputnik-dao.near,
,dao,svara.sputnik-dao.near,
,dao,aufacicenta.sputnik-dao.near,
,dao,linear.sputnik-dao.near,
,dao,the-philosophers-dao.sputnik-dao.near,
,dao,garden-collective.sputnik-dao.near,
,dao,onboarding-dao.sputnik-dao.near,
,dao,lowkeygiant.sputnik-dao.near,
,dao,beat-dao.sputnik-dao.near,
,dao,decentralbank.sputnik-dao.near,
,dao,sankore-2.sputnik-dao.near,
,dao,vr-dao.sputnik-dao.near,
,dao,presence.sputnik-dao.near,
,dao,cosmia.sputnik-dao.near,
,dao,tenk.sputnik-dao.near,
,dao,inav2.sputnik-dao.near,
,dao,im-question-mark.sputnik-dao.near,
,dao,bullishbullsdao.sputnik-dao.near,
,dao,black-cat-cinema.sputnik-dao.near,
,dao,nearweek-content.sputnik-dao.near,
,dao,nta.sputnik-dao.near,
,dao,tibira.sputnik-dao.near,
,dao,near-venezuela.sputnik-dao.near,
,dao,efam.sputnik-dao.near,
,dao,3xr.sputnik-dao.near,
,dao,plantingair.sputnik-dao.near,
,dao,startuped.sputnik-dao.near,
,dao,enrollmint-v1.sputnik-dao.near,
,dao,publishing-house.sputnik-dao.near,
,dao,near-writers-collective.sputnik-dao.near,
,dao,pixeltoken.sputnik-dao.near,
,dao,55sp.sputnik-dao.near,
,dao,data.sputnik-dao.near,
,dao,cariometer.sputnik-dao.near,
,dao,afrostar.sputnik-dao.near,
,dao,krisullis.sputnik-dao.near,
,dao,propertydealer.sputnik-dao.near,
,dao,demonstra.sputnik-dao.near,
,dao,raging-vandal.sputnik-dao.near,
,dao,w3f.sputnik-dao.near,
,dao,graffiti.sputnik-dao.near,
,dao,designguild.sputnik-dao.near,
,dao,liberation-wellness.sputnik-dao.near,
,dao,hak.sputnik-dao.near,
,dao,syzygy-guild.sputnik-dao.near,
,dao,vandao.sputnik-dao.near,
,dao,ofpnft.sputnik-dao.near,
,dao,nomadelabel.sputnik-dao.near,
,dao,gruta.sputnik-dao.near,
,dao,collectiblesdao.sputnik-dao.near,
,dao,near-cn-nft-club.sputnik-dao.near,
,dao,meme-daily-services.sputnik-dao.near,
,dao,near-china-community.sputnik-dao.near,
,dao,gambiarra-dao.sputnik-dao.near,
,dao,sputnik-dao.near,
,dao,ctc-dao.sputnik-dao.near,
,dao,mochi.sputnik-dao.near,
,dao,swine-dao.sputnik-dao.near,
,dao,business-on-near.sputnik-dao.near,
,dao,alienbearcrew.sputnik-dao.near,
,dao,ina.sputnik-dao.near,
,dao,loam.sputnik-dao.near,
,dao,arrozcriativo.sputnik-dao.near,
,dao,realitychain.sputnik-dao.near,
,dao,blaqkstereo.sputnik-dao.near,
,dao,nxm.sputnik-dao.near,
,dao,curators.sputnik-dao.near,
,dao,eliza-doez.sputnik-dao.near,
,dao,primordia.sputnik-dao.near,
,dao,kalakendradao.sputnik-dao.near,
,dao,near-ig.sputnik-dao.near,
,dao,power-cricket.sputnik-dao.near,
,dao,fanstroke-dao.sputnik-dao.near,
,dao,news.sputnik-dao.near,
,dao,usn.sputnik-dao.near,
,dao,famjam.sputnik-dao.near,
,dao,nearprotocolkoreadao.sputnik-dao.near,
,dao,wizar.sputnik-dao.near,
,dao,the-regime-dao.sputnik-dao.near,
