contract_address,name,symbol,decimals
41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68.factory.bridge.near,Inverse DAO,INV,18
2370f9d504c7a6e775bf6e14b3f12846b594cd53.factory.bridge.near,JPY Coin,JPYC,18
48afbbd342f64ef8a9ab1c143719b63c2ad81710.factory.bridge.near,MetaPoolETH,MPETH,18
93dfaf57d986b9ca77df9376c50878e013d9c7c8.factory.bridge.near,RARE.UNIQUE,RARE,18
73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f.factory.bridge.near,Stake DAO Token,SDT,18
graubuenden.near,BiarritzContract,*-*,0
syngenta.near,illuminati,<>,0
winterishere.near,Snow,❄️  ,0
wackazong.near,Digital Ducks,🦆,5
coin.asac.near,Antisocial Ape Coin,$ASAC,24
epic-cunt.near,$CADE,$CADE,24
dead-token.near,$dead,$dead,24
deezz.near,DEEZZ,$deezz,24
near_flip.near,$FLIP NEAR fungible token,$FLIP,8
token.kakzaebal.near,KakGeZaebalGrishko,$GRISHKO,18
0.token0.near,Call,0,18
01.token0.near,0,0,18
0husky.tkn.near,Husky angel,0HUSKY,1
10.token0.near,Catlisiy,10,18
1000.token0.near,ThunderCat,1000,18
10000.token0.near,Cripto Cat,10000,18
1000000.token0.near,BlagTocen,1000000,18
15338008135.tknx.near,I SEE BOOBIES,15338008135,8
18.gra-fun.near,paws,18,24
20000.token0.near,Dogs,20000,18
20usn-1089.meme-cooking.near,20$is20USN,20USN,18
420.token0.near,SNOOP,420,18
4201.token0.near,420gang,420,18
4illia-222.meme-cooking.near,Illia4Near,4illia,18
50.token0.near,Hot Wallet,50,18
555.token0.near,OppANa,555,18
6bowen-227.meme-cooking.near,6bowen,6bowen,18
8329.gra-fun.near,IMG_8329,8329,24
8bowen-1597.meme-cooking.near,∞bowen,8bowen,18
911-364.meme-cooking.near,redactedbangkok.ai,911,18
a-256.meme-cooking.near,a,a,18
aac.tkn.near,AIAlpaca,AAC,8
tkn_artfans.near,Activity ArtFans token,AAF,24
33.contract.portalbridge.near,Aave Token,AAVE,8
eth-0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9.omft.near,Aave Token,AAVE,18
aaxxii.laboratory.jumpfinance.near,AAXXII,AAXXII,5
abg-966.meme-cooking.near,Asian Girl Boss,ABG,18
