"DATE","ADDRESS","BALANCE"
"2023-04-13","zpool.poolv1.near",30.021232474
"2023-04-13","htbstake.poolv1.near",30.011405526
"2023-04-13","rockx.poolv1.near",30.010415061
"2023-04-13","onlygainz.poolv1.near",30.003118815
"2023-04-13","kuutamo.poolv1.near",30.002110591
"2023-04-13","miningpond_asia_in.poolv1.near",30.001738049
"2023-04-13","andrea.poolv1.near",30.001131205
"2023-04-13","hotbitstake.poolv1.near",30.000640511
"2023-04-13","swiss-staking.poolv1.near",30.000485261
"2023-04-13","cryptostore.poolv1.near",30.000431216
"2023-04-13","08bisontrails_investinwomen.poolv1.near",30.000423905
"2023-04-13","doghouse.poolv1.near",30.000421127
"2023-04-13","near4u.poolv1.near",30.000415268
"2023-04-13","binnostake-pool.poolv1.near",30.0004135
"2023-04-13","metaops.poolv1.near",30.00041329
"2023-04-13","agnico-1.poolv1.near",30.000404203
"2023-04-13","lobster.poolv1.near",30.000323249
"2023-04-13","basilisk-stake.poolv1.near",30.000293049
"2023-04-13","luganodes.poolv1.near",30.000111605
"2023-04-13","zentria.poolv1.near",30
"2023-04-13","humanguild_staking-platform.pool.near",7.000479028
"2023-04-13","openprojects_staking-platform.pool.near",7.000129201
