"DATE","BALANCE"
"2022-10-03",465161673.817375
"2022-10-02",484878876.190968
"2022-10-01",484620229.024557
"2022-09-30",483778856.300098
"2022-09-29",482931163.896223
"2022-09-28",481242456.859072
"2022-09-27",480970293.46097
"2022-09-26",481032290.4372
"2022-09-25",480554107.997123
"2022-09-24",480311149.514336
"2022-09-23",479952456.970113
"2022-09-22",477570489.214634
"2022-09-21",470668993.798717
"2022-09-20",453998350.089966
"2022-09-19",453380071.21232
"2022-09-18",453237515.402084
"2022-09-17",453624653.168287
"2022-09-16",469802510.702739
"2022-09-15",467499906.820233
"2022-09-14",468875799.935985
"2022-09-13",468687795.162609
"2022-09-12",469773975.955908
"2022-09-11",469607289.234432
"2022-09-10",469080301.266811
"2022-09-09",469514779.21379
"2022-09-08",471194189.781659
"2022-09-07",470639380.362828
"2022-09-06",469637878.976444
"2022-09-05",468277482.145108
"2022-09-04",467718041.058298
"2022-09-03",467536799.614083
"2022-09-02",466836222.968168
"2022-09-01",462074701.645037
"2022-08-31",462047043.699183
"2022-08-30",435205656.247084
"2022-08-29",435543998.888178
"2022-08-28",435328256.27308
"2022-08-27",435068567.522192
"2022-08-26",433980239.422863
"2022-08-25",431556676.652174
"2022-08-24",428692280.797483
"2022-08-23",428820096.287449
"2022-08-22",429947617.816254
"2022-08-21",429477246.522224
"2022-08-20",429217525.297568
"2022-08-19",432688281.432777
"2022-08-18",432774948.056848
"2022-08-17",428277205.621391
"2022-08-16",435862054.56901
"2022-08-15",433984718.983743
"2022-08-14",433047271.910356
"2022-08-13",432944224.944408
"2022-08-12",433185428.396997
"2022-08-11",432667952.137617
"2022-08-10",432585809.033612
"2022-08-09",432694181.774598
"2022-08-08",432635405.958344
"2022-08-07",430154650.068349
"2022-08-06",429593882.250109
"2022-08-05",428881022.321617
"2022-08-04",428381157.392563
"2022-08-03",429475009.623413
"2022-08-02",428668206.883102
"2022-08-01",427773881.991132
"2022-07-31",428742584.902043
"2022-07-30",428760172.530273
"2022-07-29",428754260.568883
"2022-07-28",428704057.527064
"2022-07-27",429953798.695027
"2022-07-26",429643550.312946
"2022-07-25",429391732.658301
"2022-07-24",428825249.698862
"2022-07-23",428587238.910704
"2022-07-22",428285705.077816
"2022-07-21",428291022.344037
"2022-07-20",428389146.116241
"2022-07-19",426761327.981814
"2022-07-18",426296919.218055
"2022-07-17",426275163.931753
"2022-07-16",426668693.520871
"2022-07-15",426337691.740198
"2022-07-14",427653688.062819
"2022-07-13",426218052.809676
"2022-07-12",427756040.260097
"2022-07-11",427516042.468104
"2022-07-10",426971985.430431
"2022-07-09",426717749.796247
"2022-07-08",426471638.009981
"2022-07-07",426048964.272961
"2022-07-06",425823531.757961
"2022-07-05",425769909.590898
"2022-07-04",426147193.709619
"2022-07-03",426429684.995841
"2022-07-02",426122957.68242
"2022-07-01",426277599.740928
"2022-06-30",426131949.111347
"2022-06-29",427254928.955654
"2022-06-28",427468644.979048
"2022-06-27",427824849.627641
"2022-06-26",427891572.268544
"2022-06-25",427688267.899765
"2022-06-24",427467574.025708
"2022-06-23",427226747.067483
"2022-06-22",427188636.301665
"2022-06-21",427244211.693813
"2022-06-20",465643060.309998
"2022-06-19",465174131.014124
"2022-06-18",465304806.277558
"2022-06-17",465449328.540026
"2022-06-16",469274311.312435
"2022-06-15",468558317.817884
"2022-06-14",468503507.848196
"2022-06-13",467105222.883191
"2022-06-12",467282598.899338
"2022-06-11",472946359.610391
"2022-06-10",472776182.385135
"2022-06-09",472385412.762339
"2022-06-08",471960307.583205
"2022-06-07",473413948.409494
"2022-06-06",473227642.037978
"2022-06-05",474642387.075636
"2022-06-04",474341614.047955
"2022-06-03",474027995.22147
"2022-06-02",473783091.829175
"2022-06-01",471589214.545639
"2022-05-31",471191158.859301
"2022-05-30",470332422.170568
"2022-05-29",472220051.491016
"2022-05-28",472469474.151997
"2022-05-27",472735608.734424
"2022-05-26",473710661.166682
"2022-05-25",474675089.854096
"2022-05-24",479151183.972458
"2022-05-23",478090870.538588
"2022-05-22",477828579.944977
"2022-05-21",477412329.928346
"2022-05-20",477763286.214558
"2022-05-19",479545345.522427
